#,date,content,id,url,"awkward, cowboy, happy (A, C, H)"
1,2018-01-31 23:54:21+00:00,so darn exhausted 🤠,958850974424227840,https://twitter.com/poonsnop/status/958850974424227840,A
2,2018-01-31 23:53:08+00:00,"""describe texas in one emoji: 🤠""",958850669494067202,https://twitter.com/mutualfutures/status/958850669494067202,C
3,2018-01-31 23:46:56+00:00,"⠀ ⠀      🤠
　   💮 💮 💮
    💮　💮　💮
   👇  💮💮 👇
  　  💮　💮
　   💮　  💮
　   👢     👢

Howdy! I'm the white flower sheriff!",958849108730679296,https://twitter.com/emoji_sheriff/status/958849108730679296,C
4,2018-01-31 23:45:35+00:00,Getcha that cowgirl you can get western with. 🤠,958848766169186305,https://twitter.com/Dunnalicious9/status/958848766169186305,C
5,2018-01-31 23:43:56+00:00,Happy birthday @twdoak I hope you’re having a great day!! 🤠🎉🍰,958848353118445569,https://twitter.com/doak_jokes/status/958848353118445569,H
6,2018-01-31 23:42:49+00:00,THE WAY THAT IM FLEXIN YOULL THINK IM THE ROCK 🤠,958848072552914944,https://twitter.com/nohomoimgay3/status/958848072552914944,H
7,2018-01-31 23:40:29+00:00,Just when I thought I made myself a banger I went and listened to the new @Virtual_Riot EP and now I want to cry 🤠,958847484700307457,https://twitter.com/detracemusic/status/958847484700307457,A
8,2018-01-31 23:39:12+00:00,Country vs Country Club tomorrow!!! 👕👠👞🤠🚜🏇🏽,958847159817965568,https://twitter.com/eastern2019/status/958847159817965568,C
9,2018-01-31 23:28:58+00:00,🤠,958844586117550088,https://twitter.com/_chicoo/status/958844586117550088,?
10,2018-01-31 23:28:42+00:00,Night class...???? More like.... this sucks ass 😂😂😂✋🏼👎🏼😫😳😳🔥🤠👀🚨💀⚠️ like and subscribe and don't forgot to hit that bell icon to turn on notifications 🤣🤣🤣,958844519767838720,https://twitter.com/actualmrbean/status/958844519767838720,A
11,2018-01-31 23:27:44+00:00,"rt to be in a role play gc 🤣😤😘
— im richie 😍
— reply with who u wanna be 💚
— it / st crossover 😂🤠
— don’t let me flop!💔😁❌🚫",958844274912776193,https://twitter.com/zaraRTW/status/958844274912776193,?
12,2018-01-31 23:26:48+00:00,guys give me songs and a difficulty to play on superstar sm 🤠,958844039197003776,https://twitter.com/chuuxing/status/958844039197003776,H
13,2018-01-31 23:26:32+00:00,almost february 🤠,958843973832814592,https://twitter.com/joonoutro/status/958843973832814592,H
